raw_error,error,delta,integral,derivative,steps,steps_to_take_right_now,process_value
-1.53,-1.66,0.0,-0.3,0.03,-0.1,0.0,-3.57
-1.47,-1.63,0.0,-0.63,0.03,-0.6,0.0,-3.82
-1.64,-1.72,0.0,-0.95,0.02,-0.3,0.0,-4.36
-1.59,-1.63,0.0,-1.28,0.01,-0.23,0.0,-4.53
-1.55,-1.57,0.0,-1.6,0.0,-0.38,0.0,-4.73
-1.87,-1.63,0.0,-1.93,-0.04,-0.71,0.0,-5.28
-1.75,-1.63,0.0,-2.25,-0.02,-0.29,0.0,-5.56
-1.73,-1.69,0.0,-2.58,-0.01,-0.1,0.0,-5.98
-1.47,-1.58,0.0,-2.91,0.02,-0.13,0.0,-6.02
-1.64,-1.62,0.0,-3.23,-0.0,-0.37,0.0,-6.49
-1.41,-1.6,0.0,-3.56,0.04,-0.83,0.0,-6.69
-1.74,-1.64,0.0,-3.89,-0.02,-0.53,0.0,-7.2
-1.72,-1.61,0.0,-4.22,-0.02,-0.45,0.0,-7.48
-1.53,-1.55,0.0,-4.54,0.0,-0.52,0.0,-7.63
-1.78,-1.65,0.0,-4.86,-0.03,-0.86,0.0,-8.22
-1.59,-1.64,0.0,-5.19,0.01,-0.4,0.0,-8.45
-1.74,-1.63,0.0,-5.52,-0.02,-0.16,0.0,-8.82
-1.78,-1.72,0.0,-5.84,-0.01,-0.11,0.0,-9.3
-1.64,-1.59,0.0,-6.17,-0.01,-0.29,0.0,-9.37
-1.81,-1.66,0.0,-6.5,-0.03,-0.7,0.0,-9.87
-1.72,-1.68,0.0,-6.82,-0.01,-0.32,0.0,-10.2
-1.55,-1.58,0.0,-7.15,0.0,-0.13,0.0,-10.29
-1.76,-1.65,0.0,-7.47,-0.02,-0.16,0.0,-10.81
-1.61,-1.66,0.0,-7.79,0.01,-0.37,0.0,-11.09
-1.55,-1.7,0.0,-8.11,0.03,-0.85,0.0,-11.46
-1.75,-1.68,0.0,-8.44,-0.01,-0.55,0.0,-11.82
-1.53,-1.6,0.0,-8.76,0.01,-0.44,0.0,-11.93
-1.59,-1.61,0.0,-9.09,0.0,-0.54,0.0,-12.3
-1.58,-1.56,0.0,-9.41,-0.0,-0.86,0.0,-12.53
-1.72,-1.64,0.0,-9.73,-0.01,-0.41,0.0,-13.05
-1.64,-1.65,0.0,-10.06,0.0,-0.19,0.0,-13.36
-1.58,-1.6,0.0,-10.38,0.0,-0.15,0.0,-13.56
-1.67,-1.59,0.0,-10.71,-0.01,-0.36,0.0,-13.91
-1.64,-1.65,0.0,-11.03,0.0,-0.78,0.0,-14.32
-1.78,-1.63,0.0,-11.36,-0.03,-0.42,0.0,-14.67
-1.83,-1.64,0.0,-11.69,-0.04,-0.31,0.0,-15.05
-1.66,-1.62,0.0,-12.01,-0.01,-0.37,0.0,-15.26
-1.55,-1.62,0.0,-12.33,0.01,-0.64,0.0,-15.54
-1.59,-1.67,0.0,-12.66,0.02,-0.15,0.0,-15.96
-1.69,-1.64,0.0,-12.98,-0.01,-0.87,0.0,-16.28
-1.73,-1.65,0.0,-13.31,-0.02,-0.84,0.0,-16.63
-1.69,-1.64,0.0,-13.63,-0.01,-0.97,0.0,-16.93
-1.61,-1.58,0.0,-13.95,-0.01,-0.34,0.0,-17.12
-1.92,-1.67,0.0,-14.27,-0.05,-0.91,0.0,-17.71
-1.7,-1.58,0.0,-14.59,-0.02,-0.7,0.0,-17.79
-1.47,-1.6,0.0,-14.92,0.02,-0.71,0.0,-18.06
-1.32,-1.59,0.0,-15.24,0.05,-0.97,0.0,-18.32
-1.45,-1.6,0.0,-15.57,0.03,-0.42,0.0,-18.71
-1.69,-1.63,0.0,-15.89,-0.01,-0.1,-1.0,-19.18
-1.67,-1.61,0.0,-16.22,-0.01,-0.98,0.0,-19.46
-1.64,-1.63,0.0,-16.54,-0.0,-0.1,-1.0,-19.8
-1.52,-1.6,0.0,-16.87,0.01,-0.45,0.0,-20.04
-1.58,-1.6,0.0,-17.2,0.0,-0.01,-1.0,-20.39
-1.86,-1.64,0.0,-17.52,-0.04,-0.79,0.0,-20.88
-1.61,-1.63,0.0,-17.85,0.0,-0.77,0.0,-21.11
-1.61,-1.63,0.0,-18.17,0.0,-0.95,0.0,-21.42
-1.45,-1.62,0.0,-18.5,0.03,-0.38,0.0,-21.67
-1.58,-1.61,0.0,-18.82,0.01,-0.03,-1.0,-22.04
-1.66,-1.66,0.0,-19.15,0.0,-0.88,0.0,-22.48
-1.47,-1.64,0.0,-19.48,0.03,-1.0,0.0,-22.69
-1.55,-1.59,0.0,-19.81,0.01,-0.31,0.0,-22.97
-1.78,-1.65,0.0,-20.13,-0.02,-0.82,0.0,-23.49
-1.55,-1.57,0.0,-20.46,0.0,-0.55,0.0,-23.59
-1.38,-1.63,0.0,-20.78,0.05,-0.5,0.0,-23.95
-1.56,-1.6,0.0,-21.11,0.01,-0.65,0.0,-24.3
-1.61,-1.59,0.0,-21.43,-0.0,-0.03,-1.0,-24.62
-1.38,-1.6,0.0,-21.75,0.04,-0.62,0.0,-24.87
-1.58,-1.58,0.0,-22.08,0.0,-0.41,0.0,-25.24
-1.49,-1.61,0.0,-22.4,0.02,-0.43,0.0,-25.58
-1.69,-1.65,0.0,-22.73,-0.01,-0.68,0.0,-26.04
-1.58,-1.57,0.0,-23.05,-0.0,-0.14,-1.0,-26.2
-1.38,-1.58,0.0,-23.37,0.04,-0.8,0.0,-26.46
-1.61,-1.62,0.0,-23.7,0.0,-0.69,0.0,-26.93
-1.63,-1.63,0.0,-24.02,-0.0,-0.8,0.0,-27.28
-1.58,-1.6,0.0,-24.35,0.0,-0.14,-1.0,-27.54
-1.55,-1.57,0.0,-24.67,0.0,-0.68,0.0,-27.81
-1.69,-1.67,0.0,-24.99,-0.0,-0.44,0.0,-28.34
-1.75,-1.59,0.0,-25.32,-0.03,-0.43,0.0,-28.56
-1.43,-1.58,0.0,-25.64,0.03,-0.62,0.0,-28.74
-1.61,-1.63,0.0,-25.97,0.0,-0.04,-1.0,-29.22
-1.58,-1.63,0.0,-26.3,0.01,-0.71,0.0,-29.54
-1.81,-1.66,0.0,-26.62,-0.03,-0.57,0.0,-30.0
-1.5,-1.61,0.0,-26.95,0.02,-0.64,0.0,-30.12
-1.3,-1.58,0.0,-27.27,0.05,-0.93,0.0,-30.33
-1.61,-1.55,0.0,-27.6,-0.01,-0.44,0.0,-30.72
-1.61,-1.58,0.0,-27.92,-0.01,-0.14,-1.0,-31.08
-1.78,-1.64,0.0,-28.24,-0.03,-0.06,-1.0,-31.57
-1.48,-1.56,0.0,-28.56,0.02,-0.23,0.0,-31.65
-1.67,-1.68,0.0,-28.89,0.0,-0.62,0.0,-32.25
-1.44,-1.65,0.0,-29.22,0.04,-0.27,0.0,-32.44
-1.66,-1.65,0.0,-29.54,-0.0,-0.11,-1.0,-32.85
-1.66,-1.64,0.0,-29.87,-0.0,-0.14,-1.0,-33.16
-1.53,-1.56,0.0,-30.19,0.01,-0.4,0.0,-33.3
-1.63,-1.64,0.0,-30.51,0.0,-0.89,0.0,-33.79
-1.72,-1.64,0.0,-30.84,-0.01,-0.58,0.0,-34.16
-1.67,-1.54,0.0,-31.17,-0.02,-0.51,0.0,-34.3
-1.58,-1.65,0.0,-31.49,0.01,-0.66,0.0,-34.76
-1.47,-1.6,0.0,-31.82,0.02,-0.05,-1.0,-34.97
-1.69,-1.68,0.0,-32.15,-0.0,-0.65,0.0,-35.51
-1.47,-1.59,0.0,-32.47,0.02,-0.46,0.0,-35.61
-1.69,-1.61,0.0,-32.8,-0.02,-0.48,0.0,-36.05
-1.58,-1.66,0.0,-33.13,0.01,-0.74,0.0,-36.41
-1.61,-1.6,0.0,-33.45,-0.0,-0.22,-1.0,-36.65
-1.52,-1.6,0.0,-33.78,0.02,-0.91,0.0,-36.95
-1.6,-1.64,0.0,-34.11,0.01,-0.83,0.0,-37.37
-1.55,-1.6,0.0,-34.43,0.01,-0.93,0.0,-37.62
-1.53,-1.57,0.0,-34.75,0.01,-0.21,-1.0,-37.88
-2.06,-1.69,0.0,-35.07,-0.07,-0.75,0.0,-38.59
-1.66,-1.58,0.0,-35.4,-0.02,-0.51,0.0,-38.59
-1.46,-1.62,0.0,-35.72,0.03,-0.49,0.0,-38.91
-1.6,-1.63,0.0,-36.05,0.0,-0.7,0.0,-39.3
-1.69,-1.64,0.0,-36.37,-0.01,-0.12,-1.0,-39.67
-1.64,-1.63,0.0,-36.7,-0.0,-0.77,0.0,-39.97
-1.46,-1.59,0.0,-37.03,0.02,-0.64,0.0,-40.16
-1.52,-1.63,0.0,-37.35,0.02,-0.73,0.0,-40.57
-1.52,-1.62,0.0,-37.68,0.02,-0.03,-1.0,-40.88
-1.58,-1.54,0.0,-38.0,-0.01,-0.52,0.0,-41.1
-1.81,-1.65,0.0,-38.33,-0.03,-0.25,-1.0,-41.68
-1.58,-1.6,0.0,-38.65,0.0,-0.21,-1.0,-41.84
-1.58,-1.55,0.0,-38.98,-0.01,-0.35,0.0,-42.08
-1.47,-1.6,0.0,-39.3,0.03,-0.71,0.0,-42.46
-1.63,-1.63,0.0,-39.63,-0.0,-0.32,0.0,-42.89
-1.3,-1.61,0.0,-39.95,0.06,-0.15,-1.0,-43.05
-1.84,-1.68,0.0,-40.28,-0.03,-0.19,-1.0,-43.7
-1.44,-1.54,0.0,-40.6,0.02,-0.44,0.0,-43.65
-1.69,-1.59,0.0,-40.93,-0.02,-0.92,0.0,-44.14
-1.67,-1.65,0.0,-41.26,-0.0,-0.63,0.0,-44.57
-1.61,-1.62,0.0,-41.58,0.0,-0.5,0.0,-44.81
-1.58,-1.59,0.0,-41.9,0.0,-0.62,0.0,-45.08
-1.75,-1.69,0.0,-42.23,-0.01,-0.94,0.0,-45.63
-1.72,-1.67,0.0,-42.55,-0.01,-0.51,0.0,-45.9
-1.78,-1.6,0.0,-42.88,-0.03,-0.29,-1.0,-46.14
-1.58,-1.66,0.0,-43.2,0.01,-0.32,0.0,-46.49
-1.76,-1.68,0.0,-43.53,-0.01,-0.56,0.0,-46.93
-1.53,-1.63,0.0,-43.86,0.02,-0.01,-1.0,-47.08
-1.75,-1.64,0.0,-44.19,-0.02,-0.69,0.0,-47.51
-1.75,-1.66,0.0,-44.51,-0.02,-0.59,0.0,-47.88
-1.58,-1.65,0.0,-44.84,0.01,-0.69,0.0,-48.11
-1.75,-1.64,0.0,-45.16,-0.02,-0.02,-1.0,-48.49
-1.79,-1.58,0.0,-45.49,-0.04,-0.58,0.0,-48.74
-1.33,-1.54,0.0,-45.82,0.04,-0.31,-1.0,-48.82
-1.69,-1.63,0.0,-46.14,-0.01,-0.29,-1.0,-49.42
-1.61,-1.65,0.0,-46.47,0.01,-0.5,0.0,-49.75
-1.72,-1.69,0.0,-46.79,-0.01,-0.9,0.0,-50.18
-1.46,-1.59,0.0,-47.11,0.02,-0.53,0.0,-50.25
-1.52,-1.6,0.0,-47.44,0.01,-0.37,0.0,-50.6
-1.57,-1.59,0.0,-47.76,0.0,-0.42,0.0,-50.94
-1.56,-1.61,0.0,-48.09,0.01,-0.72,0.0,-51.28
-1.63,-1.65,0.0,-48.41,0.0,-0.23,-1.0,-51.71
-1.64,-1.65,0.0,-48.74,0.0,-0.93,0.0,-52.03
-1.55,-1.63,0.0,-49.06,0.01,-0.88,0.0,-52.29
-1.67,-1.57,0.0,-49.39,-0.02,-0.04,-1.0,-52.56
-1.36,-1.59,0.0,-49.71,0.04,-0.43,0.0,-52.8
-1.7,-1.61,0.0,-50.04,-0.02,-0.01,-1.0,-53.29
-1.58,-1.6,0.0,-50.37,0.0,-0.85,0.0,-53.55
-1.69,-1.65,0.0,-50.69,-0.01,-0.91,0.0,-54.01
-1.58,-1.59,0.0,-51.02,0.0,-0.21,-1.0,-54.21
-1.63,-1.64,0.0,-51.35,0.0,-0.69,0.0,-54.63
-1.58,-1.61,0.0,-51.67,0.01,-0.42,0.0,-54.89
-1.56,-1.62,0.0,-52.01,0.01,-0.37,-1.0,-55.22
-1.63,-1.61,0.0,-52.33,-0.0,-0.54,0.0,-55.57
-1.44,-1.59,0.0,-52.66,0.03,-0.89,0.0,-55.78
-1.56,-1.59,0.0,-52.98,0.01,-0.48,0.0,-56.15
-1.52,-1.6,0.0,-53.31,0.02,-0.31,-1.0,-56.49
-1.64,-1.68,0.0,-53.64,0.01,-0.37,-1.0,-56.98
-1.69,-1.63,0.0,-53.97,-0.01,-0.62,0.0,-57.25
-1.78,-1.65,0.0,-54.3,-0.02,-0.11,-1.0,-57.64
-1.76,-1.66,0.0,-54.62,-0.02,-0.82,0.0,-57.97
-1.78,-1.67,0.0,-54.95,-0.02,-0.72,0.0,-58.34
-1.75,-1.63,0.0,-55.27,-0.02,-0.84,0.0,-58.58
-1.59,-1.64,0.0,-55.61,0.01,-0.22,-1.0,-58.87
-1.64,-1.59,0.0,-55.93,-0.01,-0.8,0.0,-59.12
-1.75,-1.66,0.0,-56.26,-0.02,-0.6,0.0,-59.61
-1.49,-1.64,0.0,-56.59,0.03,-0.61,0.0,-59.81
-1.55,-1.58,0.0,-56.91,0.01,-0.8,0.0,-60.0
-1.78,-1.7,0.0,-57.24,-0.02,-0.0,-1.0,-60.0
-1.72,-1.64,0.0,-57.57,-0.02,-0.2,-1.0,-60.0
-1.67,-1.65,0.0,-57.9,-0.0,-0.42,0.0,-60.0
