raw_error,error,delta,integral,derivative,steps,steps_to_take_right_now,process_value
20.89,6.58,0.0,1.03,4.04,0.31,0.0,22.29
6.24,6.14,0.0,2.45,0.03,0.05,1.0,14.8
-7.98,-2.62,0.0,3.0,-1.52,0.19,0.0,-5.27
-20.01,-0.3,0.0,3.72,-5.57,0.41,0.0,-8.03
31.13,11.27,0.0,5.01,5.61,0.08,1.0,38.77
-16.89,3.39,0.0,6.03,-5.74,0.19,0.0,1.31
-10.43,2.43,0.0,7.35,-3.63,0.51,0.0,4.93
-20.5,-9.66,0.0,7.22,-3.06,0.39,0.0,-18.23
-14.93,2.76,0.0,7.56,-5.0,0.95,0.0,3.07
3.98,5.26,0.0,8.7,-0.36,0.17,1.0,18.49
4.1,6.36,0.0,10.07,-0.64,0.53,0.0,21.51
1.9,1.85,0.0,10.7,0.01,0.35,0.0,14.43
1.07,8.62,0.0,12.01,-2.13,0.8,0.0,24.99
-12.4,0.11,0.0,12.5,-3.54,0.01,1.0,5.63
3.04,7.33,0.0,13.75,-1.21,0.06,1.0,25.99
-14.37,-3.57,0.0,14.3,-3.06,0.7,0.0,1.04
-0.91,7.87,0.0,15.66,-2.48,0.06,1.0,26.44
30.81,7.33,0.0,16.7,6.64,0.8,0.0,44.63
7.82,7.11,0.0,18.08,0.2,0.68,0.0,32.71
1.69,0.41,0.0,18.74,0.36,0.98,0.0,20.28
-18.41,0.3,0.0,19.99,-5.3,0.36,0.0,10.0
-12.5,-3.93,0.0,20.74,-2.43,0.0,1.0,8.02
12.13,8.48,0.0,21.99,1.04,0.91,0.0,41.01
-13.99,1.98,0.0,22.76,-4.52,0.58,0.0,17.69
13.68,7.03,0.0,23.47,1.88,0.98,0.0,41.3
-17.0,-4.92,0.0,23.53,-3.42,0.59,0.0,6.87
-10.79,0.94,0.0,24.21,-3.32,0.26,0.0,19.47
5.79,8.84,0.0,25.33,-0.87,0.26,1.0,41.28
8.46,1.65,0.0,26.55,1.93,0.43,0.0,33.7
-26.66,0.05,0.0,27.13,-7.55,0.23,0.0,12.13
-18.61,-3.36,0.0,28.18,-4.31,0.7,0.0,12.85
-19.46,0.95,0.0,28.98,-5.77,0.35,0.0,19.33
-10.23,-0.82,0.0,29.88,-2.65,0.93,0.0,22.94
-6.37,-8.46,0.0,30.34,0.59,0.01,1.0,14.6
23.24,6.77,0.0,30.89,4.66,0.49,1.0,53.74
-21.44,-2.31,0.0,31.46,-5.41,0.74,0.0,16.02
-14.48,5.11,0.0,32.7,-5.55,0.14,1.0,31.81
-13.99,0.48,0.0,33.57,-4.09,0.72,0.0,26.35
10.04,4.2,0.0,34.39,1.65,0.21,1.0,46.08
-1.35,0.18,0.0,34.94,-0.43,0.42,0.0,34.43
12.23,6.99,0.0,36.23,1.48,0.85,0.0,53.17
25.95,4.55,0.0,36.71,6.05,0.49,1.0,57.92
8.15,5.71,0.0,38.05,0.69,0.38,1.0,50.85
1.1,6.52,0.0,38.82,-1.53,0.3,1.0,48.79
-16.29,3.91,0.0,39.5,-5.7,0.86,0.0,35.91
-27.06,-1.86,0.0,40.31,-7.12,0.85,0.0,22.33
7.65,9.49,0.0,41.51,-0.52,0.29,1.0,59.45
-7.97,-0.44,0.0,41.8,-2.13,0.74,0.0,36.67
1.36,9.73,0.0,42.34,-2.37,0.75,0.0,57.06
-22.17,2.11,0.0,43.26,-6.87,0.0,1.0,33.75
-14.11,2.41,0.0,44.13,-4.68,0.3,1.0,39.6
9.33,3.76,0.0,45.03,1.58,0.93,0.0,55.71
5.73,7.1,0.0,46.46,-0.39,0.47,1.0,59.89
15.13,-0.74,0.0,47.1,4.48,0.49,1.0,54.58
12.76,8.21,0.0,48.59,1.28,0.34,1.0,60.0
-16.63,-8.9,0.0,48.9,-2.19,0.41,0.0,26.73
36.71,9.44,0.0,49.84,7.71,0.9,0.0,60.0
-3.44,-2.8,0.0,50.09,-0.18,0.73,0.0,44.13
21.26,-5.19,0.0,49.34,7.49,0.94,0.0,53.94
15.12,-3.63,0.0,50.0,5.29,0.95,0.0,53.32
23.29,11.68,0.0,50.9,3.28,0.09,1.0,60.0
-21.15,-1.91,0.0,51.08,-5.44,0.91,0.0,36.37
12.88,11.43,0.0,52.77,0.41,0.8,0.0,60.0
7.59,8.44,0.0,53.72,-0.24,0.76,0.0,60.0
0.08,7.84,0.0,55.42,-2.2,0.45,1.0,60.0
-21.77,-3.58,0.0,56.13,-5.14,0.24,1.0,38.68
34.5,10.88,0.0,57.33,6.67,0.18,1.0,60.0
8.32,7.36,0.0,58.75,0.27,0.13,1.0,60.0
21.15,12.41,0.0,59.75,2.47,0.03,1.0,60.0
-2.12,-0.39,0.0,60.24,-0.49,0.71,0.0,58.48
-17.42,1.06,0.0,60.45,-5.21,0.13,1.0,52.14
8.38,3.91,0.0,60.95,1.27,0.97,0.0,60.0
-16.95,-3.72,0.0,61.24,-3.73,0.14,1.0,46.35
-17.67,-3.46,0.0,62.03,-4.02,0.6,0.0,47.08
2.29,6.65,0.0,62.45,-1.24,0.79,0.0,60.0
-22.42,0.93,0.0,63.33,-6.6,0.55,0.0,51.98
-4.37,3.24,0.0,64.71,-2.16,0.53,1.0,60.0
-10.18,3.15,0.0,65.6,-3.77,0.6,0.0,60.0
